#separator:semicolon
#html:true
#tags column:3
<b>Unité</b>;<b>Grandeur mesurée</b> exprimée par une quantité de référence.<br>Ex. : le <b>mètre</b> (longueur), le <b>litre</b> (volume), la <b>mole</b> (quantité de matière).<br>⚠️ En sciences, une valeur <b>sans unité</b> = réponse fausse.;fr-base
<b>Conversion</b>;<b>Changer d'unité</b> sans changer la grandeur.<br>kilo (k) = ×1000 · centi (c) = ÷100 · milli (m) = ÷1000 · micro (μ) = ÷1 000 000<br><b>1 L = 1000 mL = 1 dm³</b> · <b>1 mL = 1 cm³ = 1000 μL</b>;fr-base
<b>Notation scientifique</b>;"Écrire un nombre sous la forme <b>a × 10ⁿ</b> avec 1 ≤ a &lt; 10.<br>0,00034 = <b>3,4 × 10⁻⁴</b> · 45 000 = <b>4,5 × 10⁴</b><br>→ Indispensable pour les concentrations, les pH, la radioactivité.";fr-base
<b>Chiffres significatifs</b>;Chiffres <b>fiables</b> d'une mesure (tous les chiffres certains + 1 estimé).<br>0,00340 → <b>3 chiffres significatifs</b> (3, 4, 0 final)<br>→ Le résultat ne peut pas être plus précis que la mesure la moins précise.;fr-base
<b>Puissance</b>;<b>aⁿ</b> = a multiplié par lui-même n fois.<br>Règles : aⁿ × aᵐ = <b>aⁿ⁺ᵐ</b> · aⁿ ÷ aᵐ = <b>aⁿ⁻ᵐ</b> · a⁻ⁿ = <b>1/aⁿ</b> · a⁰ = <b>1</b>;fr-base
<b>Racine carrée</b>;√a = nombre qui, élevé au carré, donne a.<br>√9 = 3 · √(a×b) = √a × √b · √(10⁻⁶) = <b>10⁻³</b>;fr-base
<b>Fraction</b>;<b>a/b</b> = a divisé par b.<br>1/4 = 0,25 = <b>25 %</b><br>Même dénominateur pour additionner : a/c + b/c = (a+b)/c;fr-base
<b>Pourcentage</b>;<b>Partie pour 100</b>.<br>20 % de 150 = 0,20 × 150 = <b>30</b><br>Passer de % à fraction : 20 % = 20/100 = 0,2;fr-base
<b>Proportionnalité</b>;Deux grandeurs sont proportionnelles si leur <b>rapport est constant</b> (coefficient de proportionnalité k).<br>y = k·x → la représentation graphique est une <b>droite passant par l'origine</b>.;fr-base
<b>Règle de trois</b>;Méthode de calcul par proportionnalité.<br>Si 5 mL contiennent 10 mg → 100 mL contiennent x<br>x = (10 × 100) / 5 = <b>200 mg</b><br>→ Sert pour toutes les <b>dilutions</b>.;fr-base
